n,Sit,9,Andre Holmes
o,Start,9,Colin Kaepernick
n,Start,9,Philip Rivers
n,Start,9,Russell Wilson
n,Start,9,Carson Palmer
n,Start,9,Alex Smith
o,Sit,9,Ben Roethlisberger
n,Sit,9,Michael Vick
n,Sit,9,Eli Manning
n,Sit,9,Joe Flacco
n,Sit,9,Mike Glennon
o,Start,8,Adam Vinatieri
n,Start,8,Mason Crosby
n,Start,8,Blair Walsh
n,Start,8,Cody Parkey
o,Sit,8,Shayne Graham
n,Sit,8,Shaun Suisham
n,Sit,8,Matt Bryant
n,Sit,8,Sebastian Janikowski
o,Start,8,Kansas City Chiefs
n,Start,8,Miami Dolphins
n,Start,8,New York Jets
n,Start,8,Dallas Cowboys
o,Sit,8,Chicago Bears
n,Sit,8,Arizona Cardinals
n,Sit,8,Carolina Panthers
n,Sit,8,Pittsburgh Steelers
o,Start,8,Golden Tate
n,Start,8,Michael Floyd
n,Start,8,Sammy Watkins
n,Start,8,Terrance Williams
n,Start,8,Doug Baldwin
o,Sit,8,Percy Harvin
n,Sit,8,DeSean Jackson
n,Sit,8,Roddy White
n,Sit,8,Torrey Smith
n,Sit,8,Brian Quick
o,Start,8,Greg Olsen
n,Start,8,Dwayne Allen
n,Start,8,Jordan Reed
n,Start,8,Zach Ertz
n,Start,8,Jared Cook
o,Sit,8,Martellus Bennett
n,Sit,8,Travis Kelce
n,Sit,8,Delanie Walker
n,Sit,8,Jermaine Gresham
n,Sit,8,Jace Amaro
o,Start,8,Andre Ellington
n,Start,8,Ben Tate
n,Start,8,Joique Bell
n,Start,8,Jerick McKinnon
n,Start,8,Lamar Miller
o,Sit,8,Zac Stacy
n,Sit,8,Denard Robinson
n,Sit,8,Bishop Sankey
n,Sit,8,Chris Johnson
n,Sit,8,Steven Jackson
o,Start,8,Russell Wilson
n,Start,8,Tony Romo
n,Start,8,Cam Newton
n,Start,8,Carson Palmer
n,Start,8,Ryan Tannehill
o,Sit,8,Matt Ryan
n,Sit,8,Nick Foles
n,Sit,8,Ben Roethlisberger
n,Sit,8,Andy Dalton
n,Sit,8,Joe Flacco
o,Start,7,Seattle Seahawks
n,Start,7,Arizona Cardinals
n,Start,7,Cleveland Browns
n,Start,7,Buffalo Bills
o,Sit,7,Kansas City Chiefs
n,Sit,7,San Francisco 49ers
